title,artist,points,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Juicy,The Notorious B.I.G.,140,1994,0.889,0.816,9,-4.67,1,0.247,0.472,0,0.204,0.777,96.056
Fight The Power,Public Enemy,100,1989,0.797,0.582,2,-12.97,1,0.255,0.00484,2.04e-6,0.517,0.415,105.974
Shook Ones (Part II),Mobb Deep,94,1995,0.637,0.878,6,-5.506,1,0.369,0.0762,0,0.118,0.652,94.921
The Message,Grandmaster Flash & The Furious Five,90,1982,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-6,0.0861,0.732,100.619
Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,84,1992,0.766,0.559,11,-7.03,0,0.0469,0.416,0.906,0.166,0.611,94.662
C.R.E.A.M.,Wu-Tang Clan,62,1993,0.479,0.549,11,-10.551,0,0.373,0.57,0.0239,0.127,0.576,180.985
93 ’Til Infinity,Souls of Mischief,50,1993,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-6,0.147,0.688,206.247
Passin’ Me By,The Pharcyde,48,1992,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-6,0.265,0.613,87.059
N.Y. State Of Mind,Nas,46,1994,0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099
Dear Mama,2Pac,42,1995,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115
Runaway,Kanye West ft. Pusha T,38,2010,0.571,0.568,1,-3.827,0,0.0703,0.218,0.0021,0.512,0.109,86.986
Paid In Full,Eric B & Rakim,36,1987,0.878,0.851,7,-8.971,1,0.232,0.00228,0.00125,0.0509,0.404,99.014
Rapper’s Delight,Sugarhill Gang,36,1979,0.9,0.845,11,-7.306,0,0.257,0.465,0,0.0724,0.914,111.187
They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,34,1992,0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787
Fuck Tha Police,NWA,32,1988,0.859,0.75,8,-8.325,0,0.303,0.0193,0,0.0538,0.857,98.691
Electric Relaxation,A Tribe Called Quest,32,1993,0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243
B.O.B.,OutKast,32,2000,0.746,0.978,9,-5.324,1,0.0978,0.0555,4.02e-5,0.026,0.652,153.897
It Was A Good Day,Ice Cube,30,1992,0.798,0.744,7,-5.328,0,0.136,0.33,1.06e-4,0.292,0.794,82.356
U.N.I.T.Y.,Queen Latifah,30,1993,0.659,0.738,4,-4.077,0,0.362,0.00561,0,0.319,0.516,93.796
Doo Wop (That Thing),Lauryn Hill,28,1998,0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935
Lose Yourself,Eminem,28,2002,0.692,0.744,2,-4.565,1,0.257,0.00868,4.23e-4,0.359,0.0612,171.374
International Players Anthem,UGK ft. OutKast,28,2007,0.587,0.386,11,-6.831,0,0.034,5.25e-4,0.14,0.351,0.5,155.65
Rosa Parks,OutKast,26,1998,0.792,0.701,6,-7.198,0,0.283,0.104,0,0.761,0.251,103.888
Jesus Walks,Kanye West,24,2004,0.637,0.834,3,-4.686,0,0.323,0.614,0,0.317,0.715,87.312
Alright,Kendrick Lamar,22,2015,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034
Grindin’,Clipse,22,2002,0.592,0.77,1,-3.402,1,0.318,0.122,1.22e-6,0.103,0.361,191.692
Rebel Without A Pause,Public Enemy,22,1988,0.755,0.692,7,-13.906,1,0.346,0.0127,0,0.69,0.651,99.771
Ready Or Not,The Fugees,22,1996,0.601,0.422,10,-13.364,0,0.518,0.21,0,0.0839,0.563,132.456
Protect Ya Neck,Wu-Tang Clan,22,1992,0.817,0.552,8,-10.8,0,0.386,0.032,7.17e-6,0.826,0.808,102.011
Life’s A Bitch,Nas ft. A.Z.,20,1994,0.775,0.734,7,-5.41,1,0.215,0.00138,0,0.304,0.342,90.001
Triumph,Wu-Tang Clan,18,1997,0.722,0.639,2,-6.959,1,0.373,9.17e-4,2.79e-5,0.352,0.324,90.972
Changes,2Pac ft. Talent,18,1998,0.865,0.657,7,-6.722,1,0.076,0.0404,0,0.14,0.316,111.115
Exhibit C,Jay Electronica,18,2009,0.49,0.818,5,-11.976,0,0.251,0.0336,0,0.378,0.334,81.942
Hit ’Em Up,2Pac,18,1996,0.916,0.844,7,-3.967,1,0.236,0.0394,0,0.0778,0.586,95.19
Planet Rock,Afrika Bambaataa & The Soulsonic Force,18,1982,0.94,0.837,6,-6.911,0,0.148,0.0455,5.36e-5,0.207,0.773,127.061
Sucker MCs,Run DMC,18,1984,0.444,0.944,4,-7.001,0,0.316,0.108,0,0.947,0.375,103.303
Walk This Way,Run DMC,18,1986,0.759,0.578,6,-12.56,0,0.0468,0.00796,8.18e-5,0.0605,0.944,105.598
Lost Ones,Lauryn Hill,16,1998,0.832,0.749,2,-6.129,1,0.37,0.0998,3.74e-6,0.0837,0.65,94.899
Work It,Missy Elliott,16,2002,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868
California Love,2Pac ft. Dr Dre,16,1996,0.761,0.847,7,-3.068,1,0.0417,0.0292,2.26e-6,0.39,0.765,91.519
Hip Hop,Dead Prez,16,2000,0.725,0.737,4,-7.453,1,0.324,6.33e-4,0.00417,0.109,0.219,77.161
I Am I Be,De La Soul,16,1993,0.501,0.846,1,-5.484,1,0.0963,0.193,0,0.953,0.587,118.179
All Of The Lights,Kanye West ft. Rihanna & Kid Cudi,16,2010,0.541,0.803,1,-3.284,1,0.0738,0.0796,1.71e-5,0.176,0.221,142.135
Blood On The Leaves,Kanye West,14,2013,0.454,0.69,2,-4.108,0,0.157,0.396,0,0.101,0.37,171.989
If I Ruled The World (Imagine That),Nas ft. Lauryn Hill,14,1996,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-6,0.0519,0.523,93.908
In Da Club,50 Cent,14,2003,0.902,0.72,6,-2.776,0,0.347,0.26,0,0.0749,0.805,90.059
Party Up (Up In Here),DMX,14,1999,0.736,0.834,1,-3.052,0,0.0969,0.077,0,0.407,0.234,100.979
The Rain (Supa Dupa Fly),Missy Elliott,14,1997,0.854,0.58,1,-10.008,1,0.217,0.117,0.00471,0.0921,0.7,162.116
Codeine Crazy,Future,14,2014,0.745,0.617,6,-7.22,0,0.144,0.168,0,0.389,0.185,125.98
Country Grammar,Nelly,14,2000,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-6,0.244,0.722,101.875
Hard Knock Life,JAY-Z,14,1998,0.884,0.679,10,-5.857,0,0.282,0.0957,0.00209,0.0289,0.591,76.993
The What,The Notorious B.I.G. ft. Method Man,14,1994,0.622,0.711,10,-8.213,1,0.414,0.186,0,0.107,0.734,173.396
A Milli,Lil Wayne,12,2008,0.673,0.695,6,-8.636,0,0.278,0.0387,0.00206,0.194,0.774,151.468
m.A.A.d. city,Kendrick Lamar,12,2012,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956
Mind Playing Tricks On Me,Geto Boys,12,1991,0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997
Black Steel In The Hour Of Chaos,Public Enemy,12,1988,0.783,0.808,6,-11.828,1,0.228,0.223,0,0.325,0.806,90.86
Excursions,A Tribe Called Quest,12,1991,0.885,0.608,11,-10.809,1,0.169,0.386,0.0118,0.319,0.707,95.748
Stan,Eminem ft. Dido,12,2000,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-6,0.518,0.507,80.063
Still D.R.E.,Dr Dre ft. Snoop Dogg,12,1999,0.816,0.775,11,-3.323,1,0.234,0.16,3.1e-4,0.0543,0.527,93.431
Elevators (Me & You),OutKast,10,1996,0.774,0.586,10,-10.434,0,0.301,0.0234,7.26e-4,0.0562,0.642,85.075
Get Ur Freak On,Missy Elliott,10,2001,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87
Ms Jackson,OutKast,10,2000,0.843,0.805,4,-5.946,0,0.269,0.142,0,0.0771,0.615,94.946
One Mic,Nas,10,2001,0.783,0.608,0,-5.742,0,0.361,0.0574,0,0.102,0.429,91.672
Bodak Yellow,Cardi B,10,2017,0.926,0.703,11,-6.337,0,0.103,0.0659,0,0.231,0.485,125.022
Hypnotize,The Notorious B.I.G.,10,1997,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941
